id,type,nr,date,url
057,wintibrief,53,2025-07-02,https://mailchi.mp/wnti/generationenwechsel-im-figurentheater-ec1li2q2s4
058,wintibrief,54,2025-07-03,https://mailchi.mp/wnti/das-parlament-entscheidet-walter-soll-gehen
059,wintibrief,55,2025-07-04,https://mailchi.mp/wnti/erst-mafiaboss-dann-verwaltungsrat-jetzt-ehrenprsident-0v42vqwtne
060,wintibrief,56,2025-07-07,https://mailchi.mp/wnti/von-schlossgespenstern-und-hegis
061,parlamentsbrief,4,2025-07-08,https://mailchi.mp/wnti/parlamentsbrief-lange-reden-ber-bus-und-bche-4rzmepjmja
062,wintibrief,57,2025-07-08,https://mailchi.mp/wnti/was-bleibt-wenn-heimat-fehlt-dh9uz4iwv5
063,wintibrief,58,2025-07-09,https://mailchi.mp/wnti/rotweisse-liebe-grosse-emotionen-und-knallhartes-geschft
064,wintibrief,59,2025-07-10,https://mailchi.mp/wnti/wagenkollektiv-bleibt-vorerst
065,wintibrief,60,2025-07-11,https://mailchi.mp/wnti/neubau-soll-kreislauf-champion-werden-865n0iqknq
066,wintibrief,61,2025-07-28,https://mailchi.mp/wnti/1000-cevis-im-grssten-lager-seit-jahren-kjddz0pcnv
067,wintibrief,62,2025-07-29,https://mailchi.mp/wnti/was-treibt-menschen-dazu-an-ein-open-air-auf-die-beine-zu-stellen-lyqvuugblk
068,wintibrief,63,2025-07-30,https://mailchi.mp/wnti/lebensfragen-glhende-konfirmanden-und-brennende-krippen
069,wintibrief,64,2025-07-31,https://mailchi.mp/wnti/amigurumi-abenteuer-kreative-sommerferien-in-winterthur
070,wintibrief,65,2025-08-04,https://mailchi.mp/wnti/nach-den-ferien-ist-vor-dem-lehrstart-rtnhuyzkvw
071,wintibrief,66,2025-08-05,https://mailchi.mp/wnti/wie-die-kantonale-gymnasialreform-die-kantonsschule-belrain-beinflussen-knnte-g00ept70vu
072,wintibrief,67,2025-08-06,https://mailchi.mp/wnti/wie-viel-zukunft-steckt-in-winterthurs-altstadt
073,wintibrief,68,2025-08-07,https://mailchi.mp/wnti/helfen-wo-die-musik-spielt-seit-50-jahren
074,wintibrief,69,2025-08-08,https://mailchi.mp/wnti/wer-vertritt-die-stadt
075,wintibrief,70,2025-08-11,https://mailchi.mp/wnti/was-ist-der-csd-winti-und-was-unterscheidet-einen-csd-von-einer-pride
076,wintibrief,71,2025-08-12,https://mailchi.mp/wnti/us-zlle-treffen-winterthurer-industrie-unterschiedlich-hart
077,wintibrief,72,2025-08-13,https://mailchi.mp/wnti/zigi-freie-mfw-auf-magischen-schuhsohlen
078,wintibrief,73,2025-08-14,https://mailchi.mp/wnti/die-tssemer-dorfet-lebt-wieder-auf
079,wintibrief,74,2025-08-15,https://mailchi.mp/wnti/svp-mfw-und-ein-grossaufgebot-der-polizei
080,wintibrief,75,2025-08-18,https://mailchi.mp/wnti/mit-einer-familie-wrde-ich-nicht-ber-die-runden-kommen
081,wintibrief,76,2025-08-19,https://mailchi.mp/wnti/50-jahre-pff-von-einer-einfachen-idee-zu-einem-modernen-festival
082,wintibrief,77,2025-08-20,https://mailchi.mp/wnti/ich-vermisse-meine-frau-2dpeyvn9qq
083,wintibrief,78,2025-08-21,https://mailchi.mp/wnti/aus-deutschland-nach-winterthur
084,wintibrief,79,2025-08-22,https://mailchi.mp/wnti/sparen-aber-niemand-will-sagen-wie-v5b4ib7cdi
085,wintibrief,80,2025-08-25,https://mailchi.mp/wnti/sie-schwimmt-mit-titanplatten-im-rcken
086,parlamentsbrief,5,2025-08-26,https://mailchi.mp/wnti/parlamentsbrief-auf-dem-weg-nach-oberi-bleibts-holprig
087,wintibrief,81,2025-08-26,https://mailchi.mp/wnti/ohne-zivis-wirds-schwierig
088,wintibrief,82,2025-08-27,https://mailchi.mp/wnti/geschminkte-nerds-mit-glitzer-und-grips-uca56j4hus
089,wintibrief,83,2025-08-28,https://mailchi.mp/wnti/mehr-als-turnen-der-tv-wlflingen-wird-150-74hl3t6i3q
090,wintibrief,84,2025-08-29,https://mailchi.mp/wnti/jetzt-ist-klar-was-mit-dem-ehemaligen-sommertheater-passieren-soll
091,wintibrief,85,2025-09-01,https://mailchi.mp/wnti/winterthur-ringt-um-den-ausbau-der-ara-hard-b49peicy1a
092,wintibrief,86,2025-09-02,https://mailchi.mp/wnti/ber-100-meter-musst-du-gehn
093,wintibrief,87,2025-09-03,https://mailchi.mp/wnti/fr-diesen-laden-gab-es-nie-einen-businessplan
094,wintibrief,88,2025-09-04,https://mailchi.mp/wnti/eine-kirche-ohne-gottesdienste
095,wintibrief,89,2025-09-05,https://mailchi.mp/wnti/baukultur-winterthur-bekommt-ein-zuhause-3a8cvreh95
096,wintibrief,90,2025-09-08,https://mailchi.mp/wnti/veltheim-kann-sich-fast-nicht-beschweren
097,wintibrief,91,2025-09-09,https://mailchi.mp/wnti/danis-legendrer-caipistand-caipirinha-aus-berzeugung-h60kpk0gpe
098,wintibrief,92,2025-09-10,https://mailchi.mp/wnti/ein-schoggikuchen-fr-ein-mtli-9yujfgfj3q
099,wintibrief,93,2025-09-11,https://mailchi.mp/wnti/kennst-du-die-geschichte-deines-hauses
100,wintibrief,94,2025-09-12,https://mailchi.mp/wnti/kleidertausch-statt-kleidermll
101,wintibrief,95,2025-09-15,https://mailchi.mp/wnti/kitas-wollen-eine-direkte-subventionierung
102,parlamentsbrief,6,2025-09-16,https://mailchi.mp/wnti/parlamentsbrief-keine-gesichtserkennung-und-fragen-fragen-fragen-85q9x207xd
103,wintibrief,96,2025-09-16,https://mailchi.mp/wnti/tennis-wie-noch-vor-hundert-jahren
104,wintibrief,97,2025-09-17,https://mailchi.mp/wnti/drei-emils-ein-andreas-und-viel-geschichte
105,wintibrief,98,2025-09-18,https://mailchi.mp/wnti/komm-mit-auf-eulach-entdeckungsreise
106,wintibrief,99,2025-09-19,https://mailchi.mp/wnti/frauenschwund-im-parlament-z78tm51jz2
107,wintibrief,100,2025-09-22,https://mailchi.mp/wnti/was-wre-wenn-architekturfhrer-in-die-zukunft-x4yerwjydz
108,wintibrief,101,2025-09-23,https://mailchi.mp/wnti/in-mattenbach-auf-der-strasse-speisen
109,wintibrief,102,2025-09-24,https://mailchi.mp/wnti/400-jungbume-fr-eine-rosskastanie
110,wintibrief,103,2025-09-25,https://mailchi.mp/wnti/in-tss-geht-die-post-ab
111,wintibrief,104,2025-09-26,https://mailchi.mp/wnti/musikerlhne-beim-musikkollegium-unter-druck
112,wintibrief,105,2025-09-29,https://mailchi.mp/wnti/wenn-aus-einer-bergreise-der-ironman-in-hawaii-wird
113,wintibrief,106,2025-09-30,https://mailchi.mp/wnti/sitting-waiting-wishing-h75nxmuesh
114,wintibrief,107,2025-10-01,https://mailchi.mp/wnti/endlich-medea-das-theater-winterthur-erffnet-neu-92nlml0cxw
115,wintibrief,108,2025-10-02,https://mailchi.mp/wnti/herausfordernde-zeiten-fr-den-gterschuppen-tss
116,wintibrief,109,2025-10-03,https://mailchi.mp/wnti/landsgemeinde-seen-der-abschluss-einer-triplette
117,wintibrief,110,2025-10-06,https://mailchi.mp/wnti/gipfeli-glut-und-grosse-sorgen
118,wintibrief,111,2025-10-07,https://mailchi.mp/wnti/es-war-surreal-winterthurer-holt-bei-swiss-skills-gold-yoiq92y01i
119,wintibrief,112,2025-10-08,https://mailchi.mp/wnti/stadtrat-reicht-dauercamperinnen-den-kleinen-finger-5hxhbp7z8k
120,wintibrief,113,2025-10-09,https://mailchi.mp/wnti/das-dampfzentrum-startet-neu
121,wintibrief,114,2025-10-10,https://mailchi.mp/wnti/sie-gibt-komponistinnen-eine-bhne
122,wintibrief,115,2025-10-13,https://mailchi.mp/wnti/mtter-knnen-beim-kaiserschnitt-live-zuschauen
123,wintibrief,116,2025-10-14,https://mailchi.mp/wnti/oktoberfest-winterthur-mehr-ksesptzle-weniger-haxen
124,wintibrief,117,2025-10-15,https://mailchi.mp/wnti/seit-40-jahren-aktivist-fr-den-frieden
125,wintibrief,118,2025-10-16,https://mailchi.mp/wnti/antreten-abtreten-oder-doch-lieber-neophyten-ausreissen
126,wintibrief,119,2025-10-17,https://mailchi.mp/wnti/die-kult-reporter-von-der-schtzenwiese
127,wintibrief,120,2025-10-20,https://mailchi.mp/wnti/zeichnen-bis-es-wieder-morgen-wird
